sentence	label
Yall need to chill he is having a really abysmal 2nd half Rizzo had an abysmal 1st half Its baseball it happens Does he have things he still needs to work on yes Has the power numbers dropped yes but he could bounce back at anytime	0
is this a joke Cause its funny AF	0
She is an alt left crazy and was discredited by numerous women All you dems have left is lies Her name is DR LIAR	1
hey bitch daily reminder that i love you	1
You are the In educated twat That speed crap and cant read obviously	1
Shouldn t pussy grabbing be the one wearing the gloves while handling food	1
I would say you have a serious case of bias Have you seen the handiwork of ANTIFA Have you seen the Dems like Maxine Waters calling for Trump officials to be harassed then laughing about it I could go on Are you kidding me	0
BLESS YOU Are the camp organisers aware of this Honestly why do people do this camp is supposed to be a fun safe place NOT A PREDATORY GROUND asdfghjkl	0
Is this for real	0
sister is not having it with roe story she is calling out his ex wife for fabrication and	0
Glad to jump in	0
All that money hadn t made u smarter	1
Maybe the gangs will in Chicago will show up and discuss you philosophy on guns and gun control or sensible gun legislative measures Since you are from Chicago and Chicago is the home of gun violence in the US	0
Absolutely	0
Thats because he is a Quack	0
You Are you ever going to listen to a different song Me No turns up volume	0
Without question Professor Ford is troubled that s being polite Half the women in the world probably more have been groped at one time or an other and don t hold on to it for 40 years This is obviously a political ploy to deter scotus confirmation	1
how Antifa s extremism is facism in the making Now I m making the face in your avi	0
She is	0
You are correct for now but 2 games doesnt make a season I thought he would do well but not this well I thought the D would suck which they do and it would make them lose I still feel that way	0
False They have not released the names of the 13 Russians yet	0
This lies how she got the key Why she dont admit she was in date or maybe had NSA with she is married What is true story BS Ok we all respct police officer but her story and excuse full of shit Please post her photo Let see how fat she is	1
Welcome back home to South Africa champ I am sure you are very happy to be back home with all your family and friends Enjoy your time here in SA	0
Chris Chris Chris Are you forgetting the mantra of every single libtard pusher of common sense gun control When all guns are outlawed the criminals will voluntarily give up their guns out of a sense of compassion	1
Once again does zero research But she is on the TV	0
Because some people are bastards You re hopelessly nave if you think plenty of frauds won t take advantage of this law change for malign purposes	1
It s amazing how people see things so different	0
I recognize the one as based on the board he becomes	0
Why are we engaging a brit antifa again I lost track	0
has become a far left liberal political machine ran by feminist hacks that hate all men and conservatives	1
Why do some conservatives blindly follow a fascist	1
please be aware that the following person who has confirmed attending fordfestND is the guest list is Canada s top antifa anarchist and intends to disrupt event His name is Alex hundert	0
There is only ONE reason why Christine Blasey Ford won t testify against Kavanaugh despite her serious allegations She can t testify UNDER OATH She ll be a willing Dem but doesn t want to PERJURE herself LESS THAN 60 DAYS UNTIL NOV ELECTION	0
And then wana talk shit when you play something they dont know but the song be fire and end up blowing up then later becomes they song	1
That s deplorable Still haven t explained why this is relevant to me somehow I ve also appeared on the same exact show with an AntiFA homosexual who has HIV	0
Lol another illegal Antifa girl	1
Apparently bald men hate women and think they shouldn t speak and we are all crazy conservatives None of which are true about me except the bald part but I like when people argue with anger it s entertaining	0
Trump Is Making America Great Again via	0
No worries Thank you for responding can I ask you a question I find it very interesting Can you tell me why you are an atheist I m just curious	0
There she is	0
Exactly She doesn t want to perjure herself since she is being nothing but a paid actress	0
And those same politicians from both and are selling the country down the drain	1
Awesome Every antifa should go through this Initiation	0
why do all crazy liberals have CRAZY EYES LOL	1
are you guys gonna play She Is beautiful tonight	0
Yes you are but I was asking what is it about the movie	0
To justify his death to racists bigots They re excuse will be well he had weed so he is a criminal deserved to be murdered Just wait till the excuses start	1
I recall hearing Maxine Waters issue a summons for all people get up in the face of the Republicans and conservatives Payback s a b ain t it	0
Funny how the we need more gun control fanatics think they want a shooting war Where are they going to go to get their free Obama guns	0
much	0
Most stupid tweet yet and yes its a libtard	1
Tonight Exposing the truth behind the accusations targeting Supreme Court pick Brett Kavanaugh Also Hurricane Florence damage totals rise in concert with the floodwaters the blatant congressional republican betrayal that could cost them the election	0
MY LRT IM DYDINV G SHE IS BEAUTIFUL	0
Liberals have made it an art form	0
Yay So happy she is well hehe	0
Hey Doug We had a large amount of contacts recently We apologize for any inconvenience this may cause you Are you referring to your tweet about the blue screen crash on PS4	0
Yes If only Antifa would leave the poor Nazis alone is a statement for the ages	0
he screams and releases 20 gallons of cum with enough pressure to make at least 2 gallons squirt from his big brother s mouth	0
Does this guy even read the Bible	0
OHIO we have to make sure we get Jim Renacci elected for Senate America is here for you Let s all together	0
Where is Joseph Dems dont want to find him He is the key	0
my name is Whitney NOT WHITEY	0
Levis just came out in support of student gun control activists Now the Trumpers will be burning their jeans as well as their sneakers	1
Haley thanx you know how to brighten up my shitty day	0
She is	0
Gun violence is low except in Democrat controlled cities w strict gun control policies where criminals are armed and citizens are not	0
The tweets show how demented liberals have become They have zero credibility	1
Apparently conservatives are now automatically guilty of any crime or assault that shows up from no where at the last possible minute We are no longer presumed innocent until proven otherwise	0
He should have started since game 1 But don t worry once he gets the start it will change the faith for the Browns He is a winner Nothing against current starter But he is just a back up in the NFL	0
I understand I sound cold but I love Nintendo This money grubbing bastards	1
thank God it was not a mosque	0
You align yourself with an organization that butchers babies for profit Than scream about the need for gun control and the violence against our children but somehow your OK with the butchering of 100s thousands of innocent defenseless babies every yr If it lines your pockets	1
AHH I MISS THEM SM	0
Chris Burns you are a fascist Nothing more than that	1
The liberal MSM are the stalkers along with Antifa	0
You cant tell us that didnt connive with to keep all of this under wrap till time for final POTUS vote	0
THEYVE REALLY HAD A BIG IMPACT SINCE I DECIDED TO PUT THEM ON YESTERDAY	0
Fixing that headline for you Antifa Protestors Chant We Believe Christine Ford	0
Why do all you liberals insist on trying to control everyone in America Why do you insist those of us that work hard for our money have to give it to people who don t Why do all you liberal millionaires keep your millions while forcing me to give away every dime I make	0
had this to say about Bill Clinton during Whitewater It s imperative to make his pattern of revolting behavior clear piece by painful piece Indeed	1
Sen Tim Kaine is ecstatic his basement boy son has found his niche working for the FBI as a Black op coordinating joining Antifa terrorist organization	0
actually we got gun control and gun grabbers dancing on their graves immediarely using it for political fodder Accusing NRA instead of removing Sheriff RUNCIE who got paid by Obama s Promise Program to NOT ARREST KIDS b c it was RACIST	1
And Twitter seems to be beholden to CNN	0
If it doesnt have m ms its not trail mix You are kicking ass and doing awesome Keep it up	1
You are the besth	0
Too many corrupt evil beings hold govt positions amd or have too much clout w the corrupt evil beings in gvt positions the majority all point to the left w a few fake conservatives in the mix Why else is Hillary Obama their cronies still walking free	1
As a member of antifa	0
I hadn t really thought of it since I only really worship the Aesir Though lots of people like to use the Vanir in arguments as examples of this or that Modern liberals saying it is race mixing for instance Theologically we don t recognize much different between tribes though	0
GOP in striking distance to retake Franken seat	0
She is absolutely amazing	0
I don t think you know what you re advocating for And you certainly don t know that saying what you said leads to a bunch of shit you probably wouldn t like whether that s what you meant or not	0
Radical Left ANTIFA Victim culture There are over 100 genders Hate speech is an act of aggression Free speech should be limited No guns Sanctuary cities Illegal s have rights too Open borders Trump derangement syndrome Voting party over platform Feelings over facts	0
She is so fake	1
only the real ones	0
If you actually d i d expose that I d be questioning you She s shifting a little exhaling rather shakily She is tempted to shush him How cheeky	0
Deep Throat	1
He is an emotionally detached and cautious man His youthful 1965 to 1970 military service and connections to naval intelligence have never really been talked about I think that there is still some Deep Throat stuff that was hidden by the outing of a confused Mark Felt	0
I can see a case for it based on the evidence of how appalling badly the Conservatives have gone about Brexit and now that we have a clear idea of what leaving means	0
A bitch built like that could beat my ass all she wants	1
Thats perfectly true Torys and Labour are different but pretty much extreme it looks like normality doesnt exist anymore None of them is even able to name the problem as it is how can they solve anything Not that liberals would be that much better	0
He is spot on Thanks Joe and Creepy Jr for spreading Joes message	0
Eject him from the Senate What rule will he break next time If you cant follow rules you shouldnt be a Senator	0
11 21 Political Corruption Texans Among liberals and conservs R s and D s large majorities favor limits on campaign spending and say the high cost of campaigning discourages many good candidates from running for president	0
the reason you havent heard from Dr Ford about whether she is available to testify on Monday yet is because She is feverishly trying to find someone to corroborate her story with the help of the DNC and Soros deep pockets	0
Depends on which way you point them	0
Looks like to me just saying	0
Wow she is nuts	0
Yes she is	0
President Trump will post a message 9 20 to our cell phones Prepping for internet social media block out	0
Youd also know this isnt about women at all b c Democrats dont call for justice for women assaulted by Democrats when there is both evidence of injury police reports Youd know Dems only demand conservatives be found guilty upon accusation Youd know this is all political	1
Please leave my girlfriend alone I know she is too good yall don t understand	0
I understand Annie she is stuck in between I understand her	0
You will see more and more shocking vigilante style justice like this Liberals on these courts are out of control Swamp creatures in DC beware Start serving the U S citizens 1st Lot of fed up Americans across this great country of ours	1
The fuck	1
were defo living in the last days	1
if i have to tolerate ur loud ass maga merch dont say shit about my nike anything kiss my ass	1
School food ass anyways	0
I think staff is top 5 6 too Ben is just getting old and run down now but to say he is trash is crazy talk Hes had a good career Partially because the Steelers have always been a good org but hes done his share to help also	0
Liberals sure love to spend other people s money Hope and change really works well for the Obamas who are multi millionaires Their fortunes have really changed for the better If liberals have any brain cells left they d vote for President Trump	1
You are cum	0
She is my friend	0
To the view all the persons involves in the show please you are better than this to have self promoting stripper on with her lawyer please don t lower your standards	0
I don t even understand what you are saying Wow	0
Only if Soros says I can	0
thats so fucked up omg in my old hs theres open campus and for every period you skip theres a 200 dollar fine lmaooo	1
He is not working for Texas he is paid by the Soros cartel Not fond of Cruz but Beto is a dangerous person Just another DNC sheeple	1
Im really not on any side of this mess but all day people were siding with Cardi talking bout Nicki and do shit Jsjdhkdfhjfkfkhsjdhd MESSSSSSS	1
What freedom do you have that people who live with gun control dont have	0
NO BITCH I MEANT I DIDNT KNOW WE WERE DOING IT NOT ZOOMED IN NO BITCH THIS IS FUN	1
Pay rise 1 hatred of Police	0
What s that GIF called	0
but i dont think all of us are depressed i think on social media its all perfect and shit but social nedia only portrays one part of a persons life as far as help i think its the same as its always been	0
She is a liar Doesnt even remember all Says it right there	1
How about telling Senator Cory Spartacus Booker to stop taking money from big pharma And how about if AARP stops being so biased towards the liberals and remember that some of your customers are Republicans	0
You are amazing You fill our days with light Don t ever change Love from your Irish fan	0
I wonder if they will burn their Levis since has come out in favor of gun control Levi Strauss teams up with gun control group We cannot stand by silently	1
Why do the libdems deserve your anger today more than 1 conservatives 2 Corbyn	0
Maybe she is just supporting a pill that aborts all computer emails Seems to have worked for her pretty well Coming to stores soon the Bleachbit Pill If you buy now they will include a free sledge hammer as well	0
All that does is reinforce the fact that is as much in the gutter as	0
Why would Kerry want to appear to be talking to the Iranians There is no doubt he is trying to talk them into waiting out Trump That s treason in my book to feel that you think you know better what the US policy should be than the US gov t Promoting his book for personal gain	0
Kerry is so full of shit he is undermining things and he knows it The Iran debacle is his baby and he wants to keep it no matter what it costs	1
How Because theyve been brainwashed by Obama and the media and theyre full of hate for conservatives	1
People died in Puerto Rico because of their governments corruption	1
You still have not addressed your solution to make schools safer you just preach more gun control what are your solutions	1
Odd Stating opinions comes with an attack cunt and assumption of a streamer using boobs for attention It was verbal diarrhea from a person who ought to know better	1
LMAO you are too dumb forgive my manners but this pile of shiit you just said can give cancer	1
ME TOO ALL ABOARD THE	0
Abortion on demand thats what she wants	0
Can you eat this child you are wild	0
Conservatives CCHQPress PM natfednews Today I can announce that new longer term partnerships will be opened up to the most ambitious housing associations through a ground breaking 2 billion initiative	0
All it needs is warm beer and Id be back in college	0
Eric pay your taxes and go straight to jail	0
Is this you disavoving Antifa Are you going to start condemning the many death threats against our President Will you come out and denounce the vile hate spewed at the President and other Republicans	0
Liberals will liberal	0
it would mean so much of an amazing girl could have some advice from you She is finally following her dream of being a photographer and would love some tips Her photos are amazing already so I know she is gonna be an even more amazing later on	0
Now you are a Netflix whisperer Jack of all trades right here	0
I don t think you have a clue what leadership and liberals have the temperament of 2 year old children being told no you have the intellectual brilliance of a goat please stop tweeting TDS is making look quite the fool	0
you are running scared	0
God help us	0
Wrong We are sending another giant F you to Liberals	1
Its sad and scary that the French so called justice system is ordering Le Pen to undergo psych eval because she dared to reveal the horrors of DAESH ISIS The true crazies are radical Muslims and liberals who protect them	0
If Trump wins 2020 and growth continues will the crazy liberals still be thanking Obama 6 years from now Of coarse the will because when the argument is lost all that is left is too dispute the facts	1
He just doesnt fit the team now Agholor should stay in the slot because thats where he is successful JMatt is not an outside threat	1
so called Liberals exposed Want talk with Terror State But Boycott RSS covention	0
10 Winning Arguments Against Gun Control Libertennial	0
He don t seems happy just look at his eyes its like he is staring into ur souls	0
Be safe you fucker	1
Still no excuse Where TF are her parents They are using him he is using her	1
A better question what do American voters need to do to defeat Antifa their Democrat sponsors	0
It is all okay with the liberals if it furthers their agenda They have no core	0
And Trump has to go Ive got one word	0
I love the insights into a culture and a world I knew nothing about and I m able to relate to the characters who are unique in crime fiction	0
But honestly the cameras suck ass they re great if you don t zoom in	0
Well hello there	0
He is coming to PurpleUmpkin where he becomes one of the Murples I will send him a ticket to travel God speed	0
Attention of bigger accounts is everything on here The smaller you are the more you vanish in Nowheresland Sometimes they even believe to be something better because of the numbers on their follower count	0
I just threw up in my mouth	1
I mean gun control so you can t defend yourself	0
You are	0
It takes a 2sec Google search to see who this accuser is I ll help the mindless uneducated liberals	1
Oh boy just wait YOU ARE IN FOR A SURPRISE Can t believe ANYONE to be that IGNORANT LMAO	1
Doomentio	0
They coming	0
Those are the	0
You dont agree sexual assault is more serious than marijuana use How many baseless allegations are supported by therapist corroboration 6 years beforehand Theres evidence and conservatives are afraid investigation would make it more convincing	1
Good move he is the big loser	1
I cackle at something different shit every time I watch it lol	1
Brown like you	0
Thats one way to look at it The other is that the charge is bullshit for almost everyone	1
Really Can you show me the studies from countries that have common sense gun control to support your statement Thx	1
I dont think it was her race or looks Biden and liberals were put on strategic defensive by CT s claim that he was being electronically lynched He played the race card and liberals folded like cheap suits GOPers now just do not care	0
That asshole has so much nerve Unreal	1
Disgusting	1
Followed all those that I havent Please follow back	0
Agreed he is the future	0
says social housing is good and in the same breath talks of climbing the ladder Hypocrisy incarnate from a failed lying politician lining her party s pockets with tax money for real estate builders building their failure of lies	1
I voted liberal for the first time on account of harper I am satisfied with the liberals	0
Always thought H Ford was a level headed guy Guess not Note to Ford climate change is summer fall winter spring Happens every year Get over it	0
This is an outstanding thread and expert insight ESP about the Reagan years which I studied in college He is spot on and there was such a titanic shift begins in the 90s with rhe Contract with America bs to the immigration issues in CA prop 187	0
Wheres Antifa for Alex Jones No where to be found	0
Anything against a conservative must be believed Liberals get a pass	0
You are so close	0
He had to talk about how great he was because nobody else was	0
You were made a fooln of last night by Kavanaugh so like a spiteful child seeking attention youngo on your wide eyed rant You are an embarrassment to the chamber and this country	1
Who really listens to those post menapausal angry yentas except hardcore liberals and femanazis	1
Like if you didnt get fired from ESPN	1
you are so beautiful	0
He is a DUMBASS	1
Thank you mama cookie she is my long distance cousin She will treat you well	0
I was kind of shocked He is gone now From my feed at least	0
Hes so tired of all these liberals everywhere Hes afraid All this will go away His money His power His tax payer paid junkets His unbridled arrogance is sick Keep the pressure on Its working	1
Isnt it funny how they want gun control but they partner up with snoop dog	0
Get the hell out of my country that u hate the u have trashed weaponized OUR GOVT for 8 yrs to destroy us quit telling our kids to hate the best county your a disgrace	0
aaaaaaaaa thats so exciting the majority of my friends are in second year at this point so the blow im about to receive from moving to a whole ass other country hasnt hit yet im doing film studies because i hate myself apparently wbu babie	1
That means you are a max lvl Twitter user and maybe should try a new game	0
It s same video posted before What I did was note that if different race had been in play it would have been considered hate Thus by objective standards either that was hate or you liberals can t complain about negative references to Black men Bye bye race card	0
Tough to say because football manages to appeal to all sides of the spectrum except maybe the far most liberals sorry for the rant lol	0
takes stand on gun control COMPANY	0
Nobody wants to take your guns we just want gun control of what guns we will allow you to have	1
I agree 100 then some Please go to work That s 49 Senators who need to please take a stand against the Obstructionist Liberals Quit allowing them to make you look inept Lead or Resign	0
1 the last minute of this video is absolutely priceless 2 facts Obama separated 90k kids and there were no protests liberals silence	0
a few comics i never met i REALLY want to meet now and he is one of them ha	0
Lets not discuss fault rn If this happened he is 10000 to blame Lets first get reasonable amount of evidence before presuming he is guilty	0
damages she is	0
PANIC in DC Sessions sent letter to Supreme Court re direction for him to UNrecuse himself	0
Of course she is	0
Almost every one I talked to at work today said fuck canelo He is the new mayweather	1
Definitely not as a democracy because its a Constitutional Republic	0
Tears of joy	0
I thought conservatives were the ones trying to rewrite history	0
She is indeed very cute	0
Oh dear Im so sorry you are having migraine I have them as well Sending up prayers for you	0
You are so funny Lol rolling about the floor laughing uncontrollably	0
Follow The Pen It Is Mightier Than The Sword	0
Thank you for this tweet Give them a call	0
I feel pretty fucked then cuz I started out fine	1
and said Kennedy was model of independent judge The attack on Kavanaugh s character and integrity via 35 year old accusations obscures his self characterization as next Anthony Kennedy There are no conservatives in the Senate	0
Idk by comparison he is the least liked or atleast that s what I ve seen but hey I m probably wrong	0
Go away you are irrelevant	1
This got me Driving Mrs Feinstein	0
lmao the WORLD league viewership compared to league of legends or overwatch or cs go Main issues are that the format is shit and the game is on console So you need to fix one of them Console could be turned into an advantage uf u capture the attention of Joe Shmo	1
Her rights of threatening to destroy the lives and careers of some teens through her connections when they made a meme on her In India too only Leftists Liberals and Islamists have FOE Rest all is hate speech	0
Agreed I have better ideas ABCLet AntiFa beat her to death at a pro Trump Free speech rally 1	1
WHAT THE FUCK YOURE SO GORGEOUS IM ACTUALLY SOBBING	1
Ok guys I think her claims are b s too but if you start threatening her you re no better than Antifa	0
Doubtful He s one of the least hateful people on this planet Maybe you re looking in a mirror	0
i read ur bio and now i feel like u owe me at least 20 for putting me through that	0
Following you anyway	0
She is at home making a quick meal for herself in the off chance that and have already eaten	0
The game sucks	1
And don t forget her comment I m not some woman standing by my man like Tammy Wynette but she was and she is Thus she is his complicit enabling bimbo	0
It was fun hope I get to see another one of ur sets soon	0
If the LEFT would just stop the politics of distraction he will keep more promises	0
Its laughable that you parade China with its shocking human rights record In China extreme Gun Control only meant death for millions of Chinese citizens at the hands of the state The History is well known	0
Useful idiots for international communism just like antifa today	1
I hope you didnt just invite Antifa Good luck be safe	0
Yeah they showed up in America and themselves Antifa	0
Conservatives and republicans alike should recieve AND GIVE forgiveness Gimme peace fam	0
They should dress him in an Ice Uniform no weapons and make him walk the boarder at night calling for the drug cartel	1
what	0
I am truly sorry that you are having a rough day I hope it gets better for you I am doing fantastic	0
It s time for the common sense conservatives to take a day off and march on Washington	0
nigga bouta go direct traffic w style	0
This message was approved by	0
Not one of these journalists mentioned the arrest of the corrupt mayor yesterday I guess they were busy not getting blown away in the wind	1
Takes a lot of monthly walks to the mailbox to afford that kinda cheese Liberals and their wise spending habits	0
These cowards ain t ready	1
Liberals Demonuts will never learn Conservatives always will find the Truth and blow their whole story	0
He is our president and im of him	0
Can I pick which one	0
Dont believe that	0
The only one suffering terrorist attacks is Mussolini even if that were true the way that terrorist is generally defined as doing violence against power outside of government realm of course its true its irrelevant Hitler by that analogy wasnt a criminal Antifa was	0
Hitler would be so proud of David Hogg	1
Chicago has the strongest gun laws in the nation but the highest homicide rate That gun control really works	0
They would ve had the Vice Presidency via Tim Kaine s Antifa son	0
Sorry nothing but a setup to try and appease the Socialist Democratic Wacked Out Liberals We are not stupid	1
she is getting death threats can you go and be a shield for her so you dont have to wait	1
Give that man a shovel	0
What about the life after they are born Like gun control Health insurance for everyone	0
Fake News	1
The has been ruined by hateful demonic Democrats It s now been WEAPONIZED against MEN Disgusting how Democrats Liberals RUIN everything they touch	1
lie detector test no such thing if you mean polygraph it doesn t detect lies or truths yes Kavanaugh should ask for an fbi investigation into Dr fords history	0
And the issue is much greater than gun control	0
I am a democrat Many do I believe in gun control Gun safety But I believe in the 2nd amendment	0
Great connection	0
There isnt one that I know of	0
What about ANTIFA No one would have died if ANTIFA hadnt showed up without a permit	0
It has always been aim to compromise the evidence so that the Special Counsel cannot use it to convict during impeachment	0
We did a great job of electing and a terrible job of who we sent to congress to support him Conservatives left frustrated as Congress passes big spending bills	0
Antifa I guess	0
Bravo Down with CNN	0
Russia agent Fake Republican Devin Nunez says liberals antifa are causing all of these riots because we are whinning	0
